# HeaderRows_16,,,,,,,,,,,,,,
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary,,,,,,,,,,,,,,
# Date; YYYY-MM-DD; Pipe_Kit_01; Eureka Manta+ 35B real time clock.,,,,,,,,,,,,,,
# Temperature_Mean; degree_celsius; Pipe_Kit_02; Eureka Manta+ 35B with thermistor.,,,,,,,,,,,,,,
# Temperature_Range; degree_celsius; Pipe_Kit_02; Eureka Manta+ 35B with thermistor.,,,,,,,,,,,,,,
# Specific_Conductance_Mean; microsiemens_per_centimeter; Pipe_Kit_02; Eureka Manta+ 35B with graphite four-electrode sensor.,,,,,,,,,,,,,,
# Specific_Conductance_Range; microsiemens_per_centimeter; Pipe_Kit_02; Eureka Manta+ 35B with graphite four-electrode sensor.,,,,,,,,,,,,,,
# Turbidity_Mean; nephelometric_turbidity_units; Pipe_Kit_02; Eureka Manta+ 35B with ISO 7027 standard turbidity sensor with integrated wiper.,,,,,,,,,,,,,,
# Turbidity_Range; nephelometric_turbidity_units; Pipe_Kit_02; Eureka Manta+ 35B with ISO 7027 standard turbidity sensor with integrated wiper.,,,,,,,,,,,,,,
# pH_Mean; pH; Pipe_Kit_02; Eureka Manta+ 35B with glass pH sensor and reference electrode.,,,,,,,,,,,,,,
# pH_Range; pH; Pipe_Kit_02; Eureka Manta+ 35B with glass pH sensor and reference electrode.,,,,,,,,,,,,,,
# Chlorophyll_A_Mean; micrograms_per_liter; Pipe_Kit_06; Eureka Manta+ 35B with Turner Designs C-FLUOR Chlorophyll-a fluorometer (blue excitation).,,,,,,,,,,,,,,
# Chlorophyll_A_Range; micrograms_per_liter; Pipe_Kit_07; Eureka Manta+ 35B with Turner Designs C-FLUOR Chlorophyll-a fluorometer (blue excitation).,,,,,,,,,,,,,,
# Battery_Mean; volts; Pipe_Kit_02; Eureka Manta+ 35B internal battery pack.,,,,,,,,,,,,,,
# Battery_Range; volts; Pipe_Kit_02; Eureka Manta+ 35B internal battery pack.,,,,,,,,,,,,,,
Date,Parent_ID,Site_ID,Temperature_Mean,Temperature_Range,Specific_Conductance_Mean,Specific_Conductance_Range,Turbidity_Mean,Turbidity_Range,pH_Mean,pH_Range,Chlorophyll_A_Mean,Chlorophyll_A_Range,Battery_Mean,Battery_Range
 2022-08-08,SSS001,S63,15.9,2.26,83,0.8,0.851,3.37,8.24,0.37,0.88,0.72,9.03,0.22
 2022-08-08,SSS002,S30R,21.2,1.7,95.1,0.2,0.0757,1.19,8.5,0.2,0.84,1,8.77,0.2
 2022-08-08,SSS003,S31,20.6,0.63,87.9,0.7,1.33,3.8,7.85,0.14,0.732,0.68,8.65,0.15
 2022-08-09,SSS004,S55N,17.9,0.11,106,0.2,2.18,1.84,7.86,0.16,1.37,0.23,8.51,0.2
 2022-08-09,SSS005,S57,17.8,0.41,76.2,0.3,2.72,1.77,7.8,0.29,1.81,6.96,8.32,0.15
 2022-08-09,SSS006,S56N,19.6,0.28,301,4.5,2.04,15.1,8.62,0.11,4.68,11.9,8.2,0.12
 2022-08-10,SSS007,S53,13.7,0.39,118,0.1,0,0,8.02,0.13,1.07,2.67,8.2,0.2
 2022-08-10,SSS008,S52,13.4,0.54,140,0.2,16.9,3.42,7.77,0.16,1.21,1.71,8.02,0.16
 2022-08-10,SSS009,S45,15.3,1.61,65.8,2.3,0.967,0.97,7.86,0.18,39.2,69.1,7.9,0.17
 2022-08-11,SSS010,S10,13.7,0.27,101,2.5,0,0,8.01,0.15,0.747,0.95,8.04,0.28
 2022-08-11,SSS011,S04,13.7,1.53,61,0.1,0.0199,1.11,7.78,0.16,1.89,0.9,7.88,0.18
 2022-08-11,SSS012,S50P,19.7,1.16,60.8,0.1,0.595,1.32,8.24,0.11,0.978,0.73,7.72,0.18
 2022-08-08,SSS013,T07,22.8,1.22,229,4.5,1.6,1.74,8.31,0.33,1.22,10.7,9.13,0.36
 2022-08-08,SSS014,T02,22.5,0.64,212,2.4,3.28,5.93,8.28,0.2,1.55,5.79,8.82,0.15
 2022-08-08,SSS015,T03,19.3,0.33,83.8,0.5,3.22,1.96,8.2,0.09,0.759,0.21,8.63,0.15
 2022-08-09,SSS016,T42,16.4,0.37,65.3,0.3,2.99,2.62,7.86,0.22,0.604,0.11,8.61,0.22
 2022-08-09,SSS017,S58,17.9,0.56,69.3,0.2,2.77,1.92,7.83,0.07,0.658,0.43,8.38,0.18
 2022-08-10,SSS018,S08,13.9,1.24,73.1,0.2,2.35,3.68,7.21,0.05,0.538,1.55,8.37,0.25
 2022-08-10,SSS019,S03,13.1,1.22,133,0.5,1.87,51.3,8.04,0.1,0.66,5.36,8.19,0.19
 2022-08-10,SSS020,T05P,19.4,0.84,78.7,1.8,2.3,11.1,8.27,0.13,1.2,4.71,8.07,0.17
 2022-08-11,SSS021,S24,15.4,1.11,41.1,0.1,0.839,1.01,7.69,0.09,0.337,0.11,8.04,0.22
 2022-08-11,SSS022,S15,15.2,0.52,85.1,0.1,0.718,0.34,7.86,0.08,0.596,0.45,7.9,0.2
 2022-08-12,SSS023,U20,14.1,0.5,209,30.7,60.3,182,-9999,-9999,5.17,16.8,7.91,0.25
 2022-08-12,SSS024,W20,20.3,12.1,189,39.7,15.8,304,7.88,0.66,2.02,15,8.35,1.31
 2022-08-08,SSS025,S34R,18.6,0.85,282,3,2.26,1.49,-9999,-9999,2.16,1.63,8.99,0.43
 2022-08-08,SSS026,S36,21.4,0.94,195,2.1,3.24,10.2,-9999,-9999,2.25,1.02,8.67,0.21
 2022-08-08,SSS027,S32,23.6,0.25,102,0.8,0.737,0.42,-9999,-9999,0.811,0.24,8.46,0.23
 2022-08-10,SSS031,S47R,9.62,0.34,53.9,0.3,1.43,0.69,-9999,-9999,0.187,0.18,8.42,0.29
 2022-08-10,SSS032,C21,6.43,0.91,65.4,0.4,0.0335,2.71,-9999,-9999,0.225,2.37,8.2,0.3
 2022-08-10,SSS033,S48R,12.1,0.09,78.5,0.2,0,0,-9999,-9999,3.23,3.41,8.07,0.2
 2022-08-11,SSS034,S18R,15.2,0.64,46.3,0.3,0,0,-9999,-9999,0.169,0.07,8.13,0.23
 2022-08-11,SSS035,S17R,19.6,0.32,24,0.3,0,0,-9999,-9999,0.0938,0.17,7.94,0.16
 2022-08-12,SSS036,W10,18.5,9.38,126,24.1,39.6,151,7.75,0.4,1.47,113,8.34,1.4
 2022-08-08,SSS037,S39,14,1.18,64.3,0.4,0,0,-9999,-9999,0.0206,0.38,8.62,0.21
 2022-08-08,SSS038,S38,15.4,0.21,147,0.5,0,0,-9999,-9999,-0.0449,0.25,8.39,0.19
 2022-08-08,SSS039,S37,18.6,1,75.3,0.4,2.77,43.9,-9999,-9999,0.234,0.49,8.27,0.15
 2022-08-09,SSS040,S54,11.9,0.25,67.4,0.3,5.03,2.26,-9999,-9999,-1.12E-04,0.08,8.31,0.25
 2022-08-09,SSS041,S49R,14.6,1.73,74,2.3,3.66,2.83,-9999,-9999,0.035,0.24,8.16,0.18
 2022-08-09,SSS042,S51,15.9,0.11,69.2,0.1,4.24,1.3,-9999,-9999,0.00573,1.67,8.06,0.15
 2022-08-10,SSS043,S11,16.4,0.62,35.3,0.3,0.0113,1.04,-9999,-9999,0.142,0.94,8.02,0.28
 2022-08-10,SSS044,S02,16.9,1.57,39.4,0.2,0.037,1.83,-9999,-9999,-0.0703,0.41,7.91,0.16
 2022-08-10,SSS045,S01,14.7,0.87,64.9,0.3,0,0,-9999,-9999,4.54,5.66,7.8,0.2
 2022-08-11,SSS046,S22RR,18,1.11,146,2.2,0.031,2.73,-9999,-9999,-0.078,0.22,7.98,0.24
 2022-08-11,SSS047,S23,13.9,0.68,48.3,0.4,0.0474,4.12,-9999,-9999,-0.0145,0.35,7.81,0.16
 2022-08-11,SSS048,S29,21.9,1.35,98.7,1.5,0.888,2.92,-9999,-9999,0.436,3.19,7.71,0.18
